Audio:FILE,Text:LABEL
https://audio.yugu.net.cn/customer_audio/chunk3360.wav,我 这 儿 把 电 池 放 里 面 它 怎 么 显 示 换 电 失 败 是 怎 么 回 事
https://audio.yugu.net.cn/customer_audio/chunk1729.wav,要 不 要 我 们 就 加 微 信 什 么 之 类 的 我 们 先 检 查 一 下 电 池
https://audio.yugu.net.cn/customer_audio/chunk7188.wav,我 刚 才 有 个 寄 存 然 后 它 显 示 失 败 了 但 是 我 现 在 人 不 在 那 边 了
https://audio.yugu.net.cn/customer_audio/chunk4930.wav,说 我 租 一 个 月 的 电 池 嘛 然 后 到 时 候 我 用 租 电 开 到 学 校 去 那 我 一 直 把 电 池 放 到 我 车 里 面 应 该 没 事 吧
https://audio.yugu.net.cn/customer_audio/chunk2801.wav,我 今 天 刚 用 这 锂 换 电 池 说 免 费 不 是 可 以 领 一 根 线 吗 扫 码 线 没 出 来
https://audio.yugu.net.cn/customer_audio/chunk1432.wav,你 看 一 下 我 电 池 出 的 是 六 十 伏 m a x 的 能 不 能 换 成 六 十 伏
https://audio.yugu.net.cn/customer_audio/chunk1980.wav,那 是 线 路 问 题 吗 我 说 是 不 是 线 路 问 题
https://audio.yugu.net.cn/customer_audio/chunk6882.wav,你 们 西 城 建 工 北 里 二 区 东 门 二 号 柜 的 电 池 电 池 柜 我 咋 没 找 到
https://audio.yugu.net.cn/customer_audio/chunk10.wav,你 们 中 山 市 只 有 是 靠 近 珠 海 这 一 边 才 有 望 天 柜 是 吗
https://audio.yugu.net.cn/customer_audio/chunk4340.wav,我 在 换 电 然 后 扫 码 的 时 候 电 箱 开 了 以 后 我 把 电 池 放 到 那 里 面 也 是 红 色 的 然 后 再 也 没 有 出 来 电 池 怎 么 回 事
https://audio.yugu.net.cn/customer_audio/chunk2165.wav,我 刚 才 说 押 金 的 套 餐 弄 错 了 然 后 怎 么 改 成 普 通 的 四 十 八 伏
https://audio.yugu.net.cn/customer_audio/chunk6314.wav,我 前 面 我 寄 存 了 电 池 为 什 么 扫 不 出 来 呀
https://audio.yugu.net.cn/customer_audio/chunk1792.wav,我 这 儿 充 电 呢 就 插 座 不 行 充 了 我 等 于 说 我 白 花 了 两 块 钱 走 了
https://audio.yugu.net.cn/customer_audio/chunk7692.wav,我 现 在 把 电 池 退 了 因 为 我 那 时 候 是 信 用 没 有 信 用 分 抵 押 现 在 我 是 怎 么 处 理
https://audio.yugu.net.cn/customer_audio/chunk8152.wav,我 这 里 怎 么 支 付 宝 显 示 逾 期 了 这 锂 换 电
https://audio.yugu.net.cn/customer_audio/chunk125.wav,我 这 电 池 取 不 出 来 了
https://audio.yugu.net.cn/customer_audio/chunk5508.wav,我 在 燕 郊 这 边 换 电 然 后 他 箭 头 不
https://audio.yugu.net.cn/customer_audio/chunk4785.wav,你 们 电 工 能 不 能 解 决
https://audio.yugu.net.cn/customer_audio/chunk6999.wav,退 电 池 的 然 后 柜 子 里 面 显 示 它 是 不 足 两 格 空 柜 然 后 就 不 能 退 款
https://audio.yugu.net.cn/customer_audio/chunk2246.wav,现 在 不 是 有 上 新 了 一 个 六 十 m a x 电 池 吗
https://audio.yugu.net.cn/customer_audio/chunk643.wav,我 手 机 号 码 绑 定 了 另 外 一 个 微 信 我 想 把 手 机 直 接 绑 了 另 外 一 个 微 信 号 码 手 机 怎 么 退 出 来 呀
https://audio.yugu.net.cn/customer_audio/chunk623.wav,我 这 边 有 一 个 套 餐 要 转 掉 我 电 话 号 码 先 报 你 一 下 你 帮 我 看 一 眼
https://audio.yugu.net.cn/customer_audio/chunk5141.wav,取 了 电 池 才 开 始 计 算 是 吧
https://audio.yugu.net.cn/customer_audio/chunk2005.wav,我 这 边 在 厦 门 租 的 电 池 我 去 了 泉 州 之 后 可 以 换 电 吗
https://audio.yugu.net.cn/customer_audio/chunk126.wav,我 这 边 小 区 的 充 电 桩 嘛 然 后 这 里 一 排 十 个 充 电 桩 我 换 了 三 个 每 个 都 交 钱 了 但 是 他 都 充 不 起 来
https://audio.yugu.net.cn/customer_audio/chunk3162.wav,说 我 在 这 边 租 的 电 池 租 的 是 六 十 伏 的 我 套 餐 是 六 十 伏 的 但 是 这 边 的 电 柜 里 面 只 是 四 十 八 伏 的
https://audio.yugu.net.cn/customer_audio/chunk5902.wav,我 换 电 的 时 候 不 小 心 把 线 材 放 进 去 了 你 可 以 帮 我 打 开 一 下 吗 四 号
https://audio.yugu.net.cn/customer_audio/chunk1209.wav,说 我 把 电 池 放 到 换 电 柜 里 了 它 柜 门 没 打 开 然 后 我 又 是 重 新 扫 码
https://audio.yugu.net.cn/customer_audio/chunk4999.wav,我 最 近 充 电 充 了 几 次 我 就 发 现 没 到 时 间 我 也 没 充 完 然 后 就 断 电 了 然 后 断 电 了 以 后 结 果 余 额 也 没 给 我 退 回 来 就 直 接 还 是 扣 的 原 费
https://audio.yugu.net.cn/customer_audio/chunk38.wav,刚 才 我 换 电 的 时 候 无 意 中 把 我 东 西 给 落 进 去 了 能 不 能 帮 我 开 一 下 柜 子 呀
https://audio.yugu.net.cn/customer_audio/chunk2401.wav,我 刚 才 把 这 个 电 池 退 到 电 柜 里 了 然 后 退 押 金 它 上 面 显 示 我 这 个 退 押 金 什 么 信 息 不 存 在 啊
https://audio.yugu.net.cn/customer_audio/chunk7629.wav,我 这 边 我 电 瓶 然 后 换 出 来 之 后 电 瓶 是 坏 的 然 后 再 次 放 进 去 换 的 话 它 换 不 了 了 呀
https://audio.yugu.net.cn/customer_audio/chunk5199.wav,我 从 开 始 充 我 给 你 说 一 下 我 第 一 次 充 不 是 你 看 一 下 我 九 月 十 四 号 有 一 笔
https://audio.yugu.net.cn/customer_audio/chunk2200.wav,我 电 柜 放 在 2 0 2 0 1 2 1 6 0 0 5 4 柜 子 柜 子 4 号 柜 门 里 面 去 了 换 电 时 电 池 吞 到 里 面 去 了 它 指 示 灯 也 不 亮
https://audio.yugu.net.cn/customer_audio/chunk256.wav,麻 烦 您 把 我 套 餐 改 成 六 十 伏 了 吧 我 把 我 四 十 八 伏 的 套 餐 改 成 六 十 伏 的
https://audio.yugu.net.cn/customer_audio/chunk3142.wav,我 电 池 走 不 了 了 这 里 没 满 电 的 能 退 一 个 出 来 不 我 把 车 开 一 下 不 然 没 地 方 换 电 了
https://audio.yugu.net.cn/customer_audio/chunk3303.wav,我 问 想 六 十 M A X 电 池 是 杭 州 这 边 多 吗
https://audio.yugu.net.cn/customer_audio/chunk7020.wav,我 想 让 你 帮 我 看 一 下 电 池 如 果 是 不 是 寄 存 三 个 月 之 后 是 不 是 要 重 新 寄 存 一 下
